Year;Crime Type;Male 12-14	;Female 12-14	;Male 15-17;Female 15-17;Male 18-24	;Female 18-24	;Male 25-34;Female 25-34;Male 35-44;Female 35-44;Male 45-54;Female 45-54;Male 55-64;Female 55-64;Male 65 +;Female 65 +;Male Unknown;Female Unknown
2014;Defamation;;; 10;; 483; 18;1 143;40.0; 932;44.0; 517;15.0; 174;10.0;41.0;1.0;;
2014;Theft;366.0;30.0;2 728;94.0;11 988; 638;8 257;636.0;3 265;355.0;1 060;143.0; 261;37.0;31.0;9.0;9.0;
2014;Robbery;235.0;8.0;1 240;18.0;3 288; 62;2 195;71.0; 646;35.0; 171;6.0; 30;;3.0;1.0;3.0;
2014;Swindling;;;;; 439; 36;1 234;82.0;1 075;48.0; 521;28.0; 123;15.0;20.0;2.0;8.0;
2014;Production and commerce of drugs;26.0;2.0; 317;8.0;3 152; 124;4 343;154.0;2 147;95.0; 921;50.0; 272;14.0;42.0;3.0;2.0;
2014;Use and purchase of drugs;4.0;; 19;;1 233; 26; 972;22.0; 285;5.0; 76;1.0; 24;1.0;1.0;;;
2014;Forgery;3.0;; 36;2.0; 954; 67;2 527;105.0;2 084;77.0;1 003;23.0; 225;5.0;26.0;;;
2014;Bad treatment;;;;; 5; 1; 13;3.0; 24;1.0; 16;1.0; 3;;;;;
2014;Embezzlement;;;;; 4; 2; 61;8.0; 159;12.0; 100;1.0; 21;;;;;
2014;Bribery;;; 1;; 27; 2; 50;1.0; 42;; 29;1.0; 8;;1.0;;;
2014;Smuggling;1.0;; 11;; 445; 5;1 129;9.0; 806;13.0; 479;8.0; 141;3.0;18.0;;1.0;
2014;Traffic crimes;;; 4;; 189; 2; 593;3.0; 545;2.0; 304;; 97;;5.0;;;
2014;Forestry crimes;;; 2;; 21; 1; 87;; 124;3.0; 126;5.0; 65;1.0;33.0;4.0;;
2014;Crimes related with firearms and knifes;;; 18;;1 048; 6;1 933;11.0;1 137;8.0; 535;4.0; 168;;42.0;;;
2014;Opposition  to the  Bankruptcy   and Enforcement Law;;;;; 615; 55;4 013;174.0;4 769;182.0;2 870;127.0; 963;26.0;217.0;7.0;3.0;
2014;Opposition to the Military Criminal Law;;;;; 196;; 37;; 9;; 1;; 1;;;;;
2014;Threat;3.0;; 98;1.0;1 307; 11;2 515;38.0;1 633;33.0; 834;17.0; 206;5.0;25.0;1.0;1.0;
2014;Damage to property;3.0;; 11;2.0; 910; 25; 855;21.0; 366;22.0; 161;9.0; 45;2.0;17.0;;1.0;
2014;Prevention of performance;3.0;; 8;1.0; 524; 10; 651;15.0; 324;8.0; 117;5.0; 25;1.0;2.0;;;1.0
2014;Contrary to the measures for family protection;;; 41;1.0; 572; 14;1 518;22.0;1 589;26.0; 739;7.0; 209;7.0;44.0;2.0;13.0;
2014;Other crimes;15.0;3.0; 323;9.0;4 288; 236;7 128;361.0;4 911;308.0;2 250;141.0; 693;51.0;205.0;7.0;1.0;
2013;Homicide;68.0;2.0; 372;8.0;1 533; 37;2 097;58.0;1 293;33.0; 713;10.0; 236;3.0;67.0;1.0;3.0;
2013;Assault;107.0;1.0; 572;8.0;6 888; 124;10 367;208.0;6 727;174.0;3 309;92.0; 992;24.0;214.0;7.0;4.0;
2013;Sexual crimes;166.0;; 416;2.0;1 038; 10;1 108;11.0; 728;24.0; 403;15.0; 161;3.0;52.0;;6.0;
2013;Kidnapping;12.0;; 86;1.0; 802; 13; 890;19.0; 356;19.0; 127;17.0; 28;2.0;8.0;2.0;1.0;
2013;Defamation;9.0;; 34;4.0; 550; 20;1 164;47.0;1 012;56.0; 562;22.0; 144;8.0;40.0;4.0;;
2013;Theft;367.0;23.0;1 720;57.0;8 897; 444;6 344;460.0;2 436;296.0; 861;131.0; 192;45.0;30.0;9.0;29.0;2.0
2013;Robbery;150.0;3.0; 728;11.0;2 046; 59;1 273;46.0; 404;19.0; 98;2.0; 21;3.0;;;14.0;
2013;Swindling;;;;; 283; 27; 862;45.0; 756;41.0; 314;13.0; 85;7.0;17.0;1.0;11.0;1.0
2013;Production and commerce of drugs;42.0;; 272;10.0;2 349; 71;3 274;106.0;1 739;76.0; 857;47.0; 257;12.0;45.0;3.0;14.0;3.0
2013;Use and purchase of drugs;11.0;; 57;3.0;1 197; 27; 976;10.0; 263;3.0; 104;1.0; 20;1.0;1.0;;;
2013;Forgery;5.0;1.0; 43;5.0; 837; 49;2 307;80.0;1 949;43.0; 902;25.0; 203;6.0;30.0;3.0;4.0;
2013;Bad treatment;;;;; 6; 1; 22;4.0; 37;1.0; 18;2.0; 7;;;;;
2013;Embezzlement;;;;; 5; 3; 82;7.0; 184;4.0; 101;3.0; 23;;4.0;;;
2013;Bribery;;;;; 30; 3; 77;1.0; 79;4.0; 46;; 8;;3.0;;;
2013;Smuggling;5.0;; 23;; 385;;1 035;5.0; 869;10.0; 491;7.0; 167;4.0;25.0;;1.0;
2013;Traffic crimes;1.0;; 5;; 171; 1; 422;3.0; 344;2.0; 173;; 37;;2.0;;;
2013;Forestry crimes;1.0;; 4;; 45;; 152;2.0; 173;7.0; 196;15.0; 136;6.0;74.0;2.0;1.0;
2013;Crimes related with firearms and knifes;24.0;; 68;1.0;1 712; 8;3 634;19.0;2 140;8.0; 947;11.0; 307;3.0;81.0;;;
2013;Opposition  to the  Bankruptcy   and Enforcement Law;;;;; 934; 48;5 388;222.0;6 359;223.0;3 770;118.0;1 263;43.0;260.0;6.0;62.0;5.0
2013;Opposition to the Military Criminal Law;;;;; 197;; 24;; 4;; 1;;;;;;24.0;
2013;Threat;17.0;; 65;; 965; 11;1 968;27.0;1 473;29.0; 669;20.0; 203;2.0;42.0;2.0;1.0;
2013;Damage to property;22.0;2.0; 76;2.0;1 237; 33;1 117;42.0; 569;37.0; 263;27.0; 63;8.0;22.0;2.0;1.0;
2013;Prevention of performance;4.0;; 23;1.0; 605; 14; 801;19.0; 380;16.0; 147;3.0; 36;5.0;3.0;;1.0;
